description,code
"['Nachweis', 'Halluzinogen', 'Blut']",R78.3
"['Nachweis', 'sonstig', 'Droge', 'Abhängigkeits', 'Potential', 'Blut']",R78.4
"['Nachweis', 'psycho', 'troper', 'Droge', 'Blut']",R78.5
"['Nachweis', 'Steroiden', 'Blut']",R78.6
"['Nachweis', 'abnorm', 'Schwer', 'Metall-', 'Blut', 'Wert', 'Schwermetall-', 'Metall-blut', 'Blutwertes']",R78.7
"['Nachweis', 'sonstig', 'nähern', 'bezeichnet', 'Substanz', 'normal', 'erweisen', 'Blut', 'vorhanden']",R78.8
"['Nachweis', 'nähern', 'bezeichnen', 'Substanz', 'normal', 'erweisen', 'Blut', 'vorhanden']",R78.9
"['Sonstige', 'abnorm', 'Befund', 'Blut', 'Chemie']",R79
"['Abnormer', 'Mineral', '-']",R79.0
"['Sonstige', 'nähern', 'bezeichnen', 'abnorm', 'Befund', 'Blut', 'Chemie']",R79.8
"['Abnormer', 'Befund', 'Blut', 'Chemie', 'nähern', 'bezeichnen']",R79.9
"['Lunge', 'Embolie']",I26
"['Lunge', 'Embolie', 'Angabe', 'akut', 'Cor', 'pulmonale']",I26.0
"['Lunge', 'Embolie', 'Angabe', 'akut', 'Cor', 'pulmonale']",I26.9
"['Sonstige', 'pulmonale', 'Herz', 'Krankheit']",I27
"['primär', 'pulmonale', 'Hyper', 'Tonie']",I27.0
"['Kyphos', 'Kolio', 'Tisch', 'Kyphoskolio', 'Koliotische', 'Herz', 'Krankheit']",I27.1
"['Sonstige', 'nähern', 'bezeichnen', 'sekundäre', 'pulmonale', 'Hyper', 'Tonie']",I27.2
"['Pulmonale', 'Hyper', 'Tonie', 'chron', 'ischer', 'Throm', 'Boembolie']",I27.20
"['Sonstige', 'nähern', 'bezeichnen', 'sekundäre', 'pulmonale', 'Hyper', 'Tonie']",I27.28
"['Sonstige', 'nähern', 'bezeichnen', 'pulmonale', 'Herz', 'Krankheit']",I27.8
"['Pulmonale', 'Herz', 'Krankheit', 'nähern', 'bezeichnen']",I27.9
"['Sonstige', 'Krank', 'Heiten', 'Lunge', 'Gefäß']",I28
"['Arter', 'Iovenöse', 'Fistel', 'Lunge', 'Gefäß']",I28.0
"['Aneurysma', 'A', 'pulmonalis']",I28.1
"['Sonstige', 'nähern', 'bezeichnen', 'Krank', 'Heiten', 'Lunge', 'Gefäß']",I28.8
"['Krankheit', 'Lunge', 'Gefäß', 'nähern', 'bezeichnen']",I28.9
"['Rheuma', 'Tisch', 'Fieber', 'Angabe', 'Herz', 'Beteiligung']",I00
"['Rheuma', 'Tisch', 'Fieber', 'Herz', 'Beteiligung']",I01
"['Akute', 'rheuma', 'tische', 'Perikarditis']",I01.0
"['Akute', 'rheuma', 'tische', 'Endokarditis']",I01.1
"['Akute', 'rheuma', 'tische', 'Myokarditis']",I01.2
"['Sonstige', 'akut', 'rheuma', 'tische', 'Herz', 'Krankheit']",I01.8
"['Akute', 'rheuma', 'tische', 'Herz', 'Krankheit', 'nähern', 'bezeichnen']",I01.9
"['Rheuma', 'Tisch', 'Chorea']",I02
"['Rheuma', 'Tisch', 'Chorea', 'Herz', 'Beteiligung']",I02.0
"['Rheuma', 'Tisch', 'Chorea', 'Herz', 'Beteiligung']",I02.9
"['gutartig', 'Mammady', 'Splasie', '[']",N60
"['Solitär', 'Zyste', 'Mamma']",N60.0
"['Diffuse', 'zystische', 'Mastopathie']",N60.1
"['Fibroadenose', 'Mamma']",N60.2
"['Fibrosklerose', 'Mamma']",N60.3
"['Ektasie', 'Ductus', 'lactiferi']",N60.4
"['Sonstige', 'gutartige', 'Mammadys', 'Plasien']",N60.8
"['gutartig', 'Mammadysplasie', 'nähern', 'bezeichnen']",N60.9
"['Entzündliche', 'Krank', 'Heiten', 'Mamma', '[']",N61
"['Hyper', 'Trophie', 'Mamma', '[']",N62
"['Nicht', 'nähern', 'bezeichnen', 'Knoten', 'Mamma', '[']",N63
"['Sonstige', 'Krank', 'Heiten', 'Mamma', '[']",N64
"['Fissur', 'Fistel', 'Brust', 'Warze']",N64.0
"['Fettgewebs', 'Nekrose', 'Mamma']",N64.1
"['Atrophie', 'Mamma']",N64.2
"['Galaktorrhoe', 'Zusammenhang', 'Geburt']",N64.3
['Mastodynie'],N64.4
"['Sonstige', 'Symptom', 'Mamma']",N64.5
"['Sonstige', 'nähern', 'bezeichnen', 'Krank', 'Heiten', 'Mamma']",N64.8
"['Krankheit', 'Mamma', 'nähern', 'bezeichnen']",N64.9
"['Vorher', 'gut', 'hende', 'Hypertonie', 'Schwangerschaft', 'Geburt', 'Woche', 'Bett', 'komplizieren']",O10
"['Vorher', 'gut', 'hende', 'essen', 'tielle', 'Hypertonie', 'Schwangerschaft', 'Geburt', 'Woche', 'Bett', 'komplizieren']",O10.0
"['Vorher', 'gut', 'hende', 'hyperten', 'sive', 'Herz', 'Krankheit', 'Schwangerschaft', 'Geburt', 'Woche', 'Bett', 'komplizieren']",O10.1
"['Vorher', 'gut', 'hende', 'hyperten', 'sive', 'Niere', 'Krankheit', 'Schwangerschaft', 'Geburt', 'Woche', 'Bett', 'komplizieren']",O10.2
"['Vorher', 'gut', 'hende', 'hyperten', 'sive', 'Herz-', 'Niere', 'Krankheit', 'Schwangerschaft', 'Geburt', 'Woche', 'Bett', 'komplizieren']",O10.3
"['Vorher', 'gut', 'hende', 'sekundäre', 'Hypertonie', 'Schwangerschaft', 'Geburt', 'Woche', 'Bett', 'komplizieren']",O10.4
"['Nicht', 'nähern', 'bezeichnen', 'vorher', 'gut', 'hende', 'Hypertonie', 'Schwangerschaft', 'Geburt', 'Woche', 'Bett', 'komplizieren']",O10.9
"['chronisch', 'Hyper', 'Tonie', 'aufge', 'pfropfter', 'Präe', 'Klampsie']",O11
"['Gestations', 'Ödeme', 'Gestations', 'Protein', 'Urie', 'Gestationsprotein', 'Proteinurie', '[', 'Hyper', 'Tonie']",O12
"['Schwang', 'Erschafts', 'Ödeme', 'Schwangerschafts', 'Erschaftsödeme']",O12.0
"['Schwangerschafts', 'Protein', 'Urie', 'Schwangerschaftsprotein', 'Proteinurie']",O12.1
"['Schwang', 'Erschafts', 'Ödeme', 'Schwangerschafts', 'Erschaftsödeme', 'Protein', 'Urie']",O12.2
"['Gestations', 'Hyper', 'Tonie', 'Gestationshyper', 'Hypertonie', '[', 'Hypertonie']",O13
"['Präe', 'Klampsie']",O14
"['leicht', 'mäßigen', 'Präe', 'Klampsie']",O14.0
"['Schwere', 'Präe', 'Klampsie']",O14.1
"['HELLP-', 'Syndrom']",O14.2
"['Präe', 'Klampsie', 'nähern', 'bezeichnen']",O14.9
['Eklampsie'],O15
"['Eklampsie', 'Schwangerschaft']",O15.0
"['Eklampsie', 'Geburt']",O15.1
"['Eklampsie', 'Woche', 'Bett']",O15.2
"['Eklampsie', 'zeit', 'liche', 'Bezug', 'angeben']",O15.9
"['Nicht', 'nähern', 'bezeichnen', 'Hyper', 'Tonie', 'Mutter']",O16
"['Ober', 'Flächliche', 'Verletzung', 'Knöchel', 'Region', 'Fuß']",S90
"['Prellung', 'Knöchel', 'Region']",S90.0
"['Prellung', 'mehrer', 'Zehe', 'Schädigung', 'Nagel']",S90.1
"['Prellung', 'mehrer', 'Zehe', 'Schädigung', 'Nagel']",S90.2
"['Prellung', 'sonstig', 'nähern', 'bezeichnet', 'Teil', 'Fuß']",S90.3
"['Multiple', 'ober', 'flächliche', 'Verletzung', 'Knöchel', 'Region', 'Fuß']",S90.7
"['Sonstige', 'ober', 'flächliche', 'Verletzung', 'Knöchel', 'Region', 'Fuß']",S90.8
"['Schürf', 'Wunde']",S90.81
"['Blase', 'Bildung', '(']",S90.82
"['Insekt', 'Biss', '-stich', '(']",S90.83
"['Ober', 'Fläch', 'Licher', 'Oberfläch', 'Flächlicher', 'Fremd', 'Körper', '(']",S90.84
"['Subkutanes', '(', 'Décollement']",S90.86
['Sonstige'],S90.88
"['Ober', 'Flächliche', 'Verletzung', 'Knöchel', 'Region', 'Fuß', 'nähern', 'bezeichnen']",S90.9
"['Offene', 'Wunde', 'Knöchel', 'Region', 'Fuß']",S91
"['Offene', 'Wunde', 'Knöchel', 'Region']",S91.0
"['Offene', 'Wunde', 'mehrer', 'Zehe', 'Schädigung', 'Nagel']",S91.1
"['Offene', 'Wunde', 'mehrer', 'Zehe', 'Schädigung', 'Nagel']",S91.2
"['Offene', 'Wunde', 'sonstig', 'Teil', 'Fuß']",S91.3
"['Multiple', 'offen', 'Wunde', 'Knöchel', 'Region', 'Fuß']",S91.7
"['Offene', 'Wunde', 'sonstig', 'Teil', 'Knöchel', 'Region', 'Fuß']",S91.8
"['Offene', 'Wunde', 'sonstig', 'Teil', 'Knöchel', 'Region', 'Fuß']",S91.80
"['Weich', 'Teil', 'Schaden', 'Weichteil', 'Teilschaden', 'I.', 'Grad', 'geschlossen', 'Fraktur', 'Luxation', 'Fuß']",S91.84
"['Weich', 'Teil', 'Schaden', 'Weichteil', 'Teilschaden', 'II', 'Grad', 'geschlossen', 'Fraktur', 'Luxation', 'Fuß']",S91.85
"['Weich', 'Teil', 'Schaden', 'Weichteil', 'Teilschaden', 'III', 'Grad', 'geschlossen', 'Fraktur', 'Luxation', 'Fuß']",S91.86
"['Weich', 'Teil', 'Schaden', 'Weichteil', 'Teilschaden', 'I.', 'Grad', 'offen', 'Fraktur', 'Luxation', 'Fuß']",S91.87
"['Weich', 'Teil', 'Schaden', 'Weichteil', 'Teilschaden', 'II', 'Grad', 'offen', 'Fraktur', 'Luxation', 'Fuß']",S91.88
"['Weich', 'Teil', 'Schaden', 'Weichteil', 'Teilschaden', 'III', 'Grad', 'offen', 'Fraktur', 'Luxation', 'Fuß']",S91.89
"['Fraktur', 'Fuß', '[', 'ober', 'Sprung', 'Gelenk']",S92
"['Fraktur', 'Kalkaneus']",S92.0
"['Fraktur', 'Talus']",S92.1
"['Fraktur', 'mehrer', 'sonstig', 'Fußwurzel', 'Knochen']",S92.2
"['Ein', 'mehrer', 'sonstig', 'Fußwurzel', 'Knochen', 'nähern', 'bezeichnen']",S92.20
"['O', 'naviculare', 'pedis']",S92.21
"['O', 'cuboideum']",S92.22
"['O', 'cunei', 'formen', '(', '(', '(']",S92.23
"['Sonstige', 'Fußwurzel', 'Knochen']",S92.28
"['Fraktur', 'Mittel', 'Fußknochen']",S92.3
"['Fraktur', 'Großzehe']",S92.4
"['Fraktur', 'sonstig', 'Zehe']",S92.5
"['Multiple', 'Fraktur', 'Fuß']",S92.7
"['Fraktur', 'Fuß', 'nähern', 'bezeichnen']",S92.9
"['Luxation', 'Verstauchung', 'Zerrung', 'Gelenk', 'Bänder', 'Höhe', 'ober', 'Sprung', 'Gelenk', 'Fuß']",S93
"['Luxation', 'ober', 'Sprung', 'Gelenk']",S93.0
"['Luxation', 'mehrer', 'Zehe']",S93.1
"['Nicht', 'nähern', 'bezeichnen']",S93.10
"['Metat', 'Arsophal', 'Angeal', 'Metatarsophal', 'Arsophalangeal', '(']",S93.11
"['Inter', 'Phal', 'Angeal', 'Interphal', 'Phalangeal', '(']",S93.12
"['Trauma', 'Tisch', 'Ruptur', 'Bändern', 'Höhe', 'ober', 'Sprung', 'Gelenk', 'Fuß']",S93.2
"['Luxation', 'sonstig', 'nähern', 'bezeichnet', 'Teil', 'Fuß']",S93.3
"['Teil', 'nähern', 'bezeichnen']",S93.30
"['Fußwurzel', '(', 'Gelenk', 'nähern', 'bezeichnen']",S93.31
"['Medio', 'Tarsal', '(']",S93.32
"['Tarso', 'Metatarsal', '(']",S93.33
"['Metat', 'Arsal', '(', 'Gelenk', 'nähern', 'bezeichnen']",S93.34
['Sonstige'],S93.38
"['Verstauchung', 'Zerrung', 'ober', 'Sprung', 'Gelenk']",S93.4
"['Teil', 'nähern', 'bezeichnen']",S93.40
"['Lig', 'deltoideum']",S93.41
"['Lig', 'calcan', 'eofibulare']",S93.42
"['Lig', 'tibio', 'fibulare', '(', '(', 'distal']",S93.43
"['Sonstige', 'Teil']",S93.48
"['Verstauchung', 'Zerrung', 'mehrer', 'Zehe']",S93.5
"['Verstauchung', 'Zerrung', 'sonstig', 'nähern', 'bezeichnet', 'Teil', 'Fuß']",S93.6
"['Verletzung', 'Nerv', 'Höhe', 'Knöchels', 'Fuß']",S94
"['Verletzung', 'N.', 'plantaris', 'lateralis']",S94.0
"['Verletzung', 'N.', 'plantaris', 'medialis']",S94.1
"['Verletzung', 'N.', 'peronaeus', 'profundus', 'Höhe', 'Knöchels', 'Fuß']",S94.2
"['Verletzung', 'sensibel', 'Hautnerven', 'Höhe', 'Knöchels', 'Fuß']",S94.3
"['Verletzung', 'mehrer', 'Nerv', 'Höhe', 'Knöchels', 'Fuß']",S94.7
"['Verletzung', 'sonstig', 'Nerv', 'Höhe', 'Knöchels', 'Fuß']",S94.8
"['Verletzung', 'nähern', 'bezeichnen', 'Nerv', 'Höhe', 'Knöchels', 'Fuß']",S94.9
"['Verletzung', 'Blut', 'Ge', 'Fäßen', 'Blutge', 'Gefäß', 'Höhe', 'Knöchels', 'Fuß']",S95
"['Verletzung', 'A', 'dorsalis', 'pedis']",S95.0
"['Verletzung', 'A', 'plantaris', 'pedis']",S95.1
"['Verletzung', 'Venen', 'Fußrückens']",S95.2
"['Verletzung', 'mehrer', 'Blut', 'Gefäß', 'Höhe', 'Knöchels', 'Fuß']",S95.7
"['Verletzung', 'sonstig', 'Blut', 'Gefäß', 'Höhe', 'Knöchels', 'Fuß']",S95.8
"['Verletzung', 'nähern', 'bezeichnen', 'Blut', 'Ge', 'Fäßes', 'Blutge', 'Gefäß', 'Höhe', 'Knöchels', 'Fuß']",S95.9
"['Verletzung', 'Muskel', 'Sehne', 'Höhe', 'Knöchels', 'Fuß']",S96
"['Verletzung', 'Muskel', 'Sehne', 'lang', 'Beuge', 'Muskel', 'Zehe', 'Höhe', 'Knöchels', 'Fuß']",S96.0
"['Verletzung', 'Muskel', 'Sehne', 'lang', 'Streck', 'Muskel', 'Zehe', 'Höhe', 'Knöchels', 'Fuß']",S96.1
"['Verletzung', 'kurz', 'Muskel', 'Sehne', 'Höhe', 'Knöchels', 'Fuß']",S96.2
"['Verletzung', 'mehrer', 'Muskel', 'Sehne', 'Höhe', 'Knöchels', 'Fuß']",S96.7
"['Verletzung', 'sonstig', 'Muskel', 'Sehne', 'Höhe', 'Knöchels', 'Fuß']",S96.8
"['Verletzung', 'nähern', 'bezeichnen', 'Muskel', 'nähern', 'bezeichnen', 'Sehne', 'Höhe', 'Knöchels', 'Fuß']",S96.9
"['Zerquetschung', 'ober', 'Sprung', 'Gelenk', 'Fuß']",S97
"['Zerquetschung', 'ober', 'Sprung', 'Gelenk']",S97.0
"['Zerquetschung', 'mehrer', 'Zehe']",S97.1
"['Zerquetschung', 'sonstig', 'Teil', 'ober', 'Sprung', 'Gelenk', 'Fuß']",S97.8
"['Trauma', 'Tisch', 'Amputation', 'ober', 'Sprung', 'Gelenk', 'Fuß']",S98
"['Trauma', 'Tisch', 'Amputation', 'Fuß', 'Höhe', 'ober', 'Sprung', 'Gelenk']",S98.0
"['Trauma', 'Tisch', 'Amputation', 'einzeln', 'Zehe']",S98.1
"['Trauma', 'Tisch', 'Amputation', 'Zehe']",S98.2
"['Trauma', 'Tisch', 'Amputation', 'sonstig', 'Teil', 'Fuß']",S98.3
"['Trauma', 'Tisch', 'Amputation', 'Fuß', 'Höhe', 'nähern', 'bezeichnen']",S98.4
"['Sonstige', 'nähern', 'bezeichnen', 'Verletzung', 'Knöchel', 'Region', 'Fuß']",S99
"['Multiple', 'Verletzung', 'Knöchel', 'Region', 'Fuß']",S99.7
"['Sonstige', 'nähern', 'bezeichnen', 'Verletzung', 'Knöchel', 'Region', 'Fuß']",S99.8
"['Nicht', 'nähern', 'bezeichnen', 'Verletzung', 'Knöchel', 'Region', 'Fuß']",S99.9
"['Folge', 'Komplikation', 'Schwangerschaft', 'Geburt', 'Woche', 'Bett']",O94
"['Ster', 'Befall', 'Gestations', 'Periode', 'nähern', 'bezeichnet', 'Ursache']",O95
"['Tod', 'infolge', 'gestations', 'bedingt', 'Ursache', '42', 'Tag', 'Jahr', 'Entbindung']",O96
"['Tod', 'infolge', 'direkt', 'gestations', 'bedingt', 'Ursache', '42', 'Tag', 'Jahr', 'Entbindung']",O96.0
"['Tod', 'infolge', 'indirekt', 'gestations', 'bedingt', 'Ursache', '42', 'Tag', 'Jahr', 'Entbindung']",O96.1
"['Tod', 'infolge', 'nähern', 'bezeichnet', 'gestations', 'bedingt', 'Ursache', '42', 'Tag', 'Jahr', 'Entbindung']",O96.9
"['Tod', 'Folge', 'gestations', 'bedingt', 'Ursache']",O97
"['Tod', 'Folge', 'direkt', 'gestations', 'bedingt', 'Ursache']",O97.0
"['Tod', 'Folge', 'indirekt', 'gestations', 'bedingt', 'Ursache']",O97.1
"['Tod', 'Folge', 'nähern', 'bezeichnet', 'gestations', 'bedingt', 'Ursache']",O97.9
"['infektiös', 'parasitär', 'Krank', 'Heiten', 'Mutter', 'ander', 'orts', 'klassifizierbar', 'sein', 'Schwangerschaft', 'Geburt', 'Woche', 'Bett', 'komplizieren']",O98
"['Tuber', 'Kulose', 'Schwangerschaft', 'Geburt', 'Woche', 'Bett', 'komplizieren']",O98.0
"['Syphilis', 'Schwangerschaft', 'Geburt', 'Woche', 'Bett', 'komplizieren']",O98.1
"['Gonorrhoe', 'Schwangerschaft', 'Geburt', 'Woche', 'Bett', 'komplizieren']",O98.2
"['Sonstige', 'Infektion', 'haupt', 'sächlich', 'Geschlecht', 'Verkehr', 'über', 'tragen', 'Schwangerschaft', 'Geburt', 'Woche', 'Bett', 'komplizieren']",O98.3
"['Virushepatitis', 'Schwangerschaft', 'Geburt', 'Woche', 'Bett', 'komplizieren']",O98.4
"['Sonstige', 'Virus', 'Krankheit', 'Schwangerschaft', 'Geburt', 'Woche', 'Bett', 'komplizieren']",O98.5
"['Protozoen', 'Krankheit', 'Schwangerschaft', 'Geburt', 'Woche', 'Bett', 'komplizieren']",O98.6
"['HIV-', 'Krankheit', '[', 'Immun', 'Defizienz-', 'Virus', 'Krankheit', 'Immundefizienz-', 'Defizienz-virus', 'Viruskrankheit', 'Schwangerschaft', 'Geburt', 'Woche', 'Bett', 'komplizieren']",O98.7
"['Sonstige', 'infektiöse', 'parasitär', 'Krank', 'Heiten', 'Mutter', 'Schwangerschaft', 'Geburt', 'Woche', 'Bett', 'komplizieren']",O98.8
"['Nicht', 'nähern', 'bezeichnen', 'infektiöse', 'parasitär', 'Krankheit', 'Mutter', 'Schwangerschaft', 'Geburt', 'Woche', 'Bett', 'komplizieren']",O98.9
"['Sonstige', 'Krank', 'Heiten', 'Mutter', 'ander', 'orts', 'klassifizierbar', 'sein', 'Schwangerschaft', 'Geburt', 'Woche', 'Bett', 'komplizieren']",O99
"['Anämie', 'Schwangerschaft', 'Geburt', 'Woche', 'Bett', 'komplizieren']",O99.0
"['Sonstige', 'Krank', 'Heiten', 'Blut', 'blut', 'bild', 'enden', 'blutbild', 'bildend', 'Organ', 'bestimmen', 'Störung', 'Beteiligung', 'Immun', 'System', 'Schwangerschaft', 'Geburt', 'Woche', 'Bett', 'komplizieren']",O99.1
"['Endokrine', 'Ernährungs-', 'Stoff', 'Wechsel', 'Krankheit', 'Stoffwechsel', 'Wechselkrankheiten', 'Schwangerschaft', 'Geburt', 'Woche', 'Bett', 'komplizieren']",O99.2
"['Psychische', 'Krank', 'Heiten', 'Krank', 'Heiten', 'Nerv', 'System', 'Schwangerschaft', 'Geburt', 'Woche', 'Bett', 'komplizieren']",O99.3
"['Krank', 'Heiten', 'Kreislauf', 'System', 'Schwangerschaft', 'Geburt', 'Woche', 'Bett', 'komplizieren']",O99.4
"['Krank', 'Heiten', 'Atmungs', 'System', 'Schwangerschaft', 'Geburt', 'Woche', 'Bett', 'komplizieren']",O99.5
"['Krank', 'Heiten', 'Verdauungs', 'System', 'Schwangerschaft', 'Geburt', 'Woche', 'Bett', 'komplizieren']",O99.6
"['Krank', 'Heiten', 'Haut', 'Unter', 'Hautgewebes', 'Schwangerschaft', 'Geburt', 'Woche', 'Bett', 'komplizieren']",O99.7
"['Sonstige', 'nähern', 'bezeichnen', 'Krank', 'Heiten', 'Zustand', 'Schwangerschaft', 'Geburt', 'Woche', 'Bett', 'komplizieren']",O99.8
"['Vitamin', '-']",E50
"['Vitamin', '-', 'Xerosis', 'conjunctivae']",E50.0
"['Vitamin', '-', 'Bitot-', 'Fleck', 'Xerosis', 'conjunctivae']",E50.1
"['Vitamin', '-', 'Horn', 'Haut', 'Xerose', 'Hornhaut', 'Hautxerose']",E50.2
"['Vitamin', '-', 'Horn', 'Hau', 'T', 'Ulze', 'Ration', 'Hornhau', 'Haut', 'Tulze', 'Ulzeration', 'Horn', 'Haut', 'Xerose', 'Hornhaut', 'Hautxerose']",E50.3
"['Vitamin', '-', 'Kerato', 'Malazie']",E50.4
"['Vitamin', '-', 'Nacht', 'Blindheit']",E50.5
"['Vitamin', '-', 'xeroph', 'thal', 'mischen', 'xerophthal', 'thalmischen', 'Narbe', 'Hornhaut']",E50.6
"['Sonstige', 'Manife', 'Station', 'Vitamin', '-', 'Auge']",E50.7
"['Sonstige', 'Manife', 'Station', 'Vitamin', '-']",E50.8
"['Vitamin', '-', 'nähern', 'bezeichnen']",E50.9
"['Thiamin', 'Mangel', '[']",E51
['Beriberi'],E51.1
"['Wernicke-', 'Enzephalopathie']",E51.2
"['Sonstige', 'Manife', 'Station', 'Thiamin', 'Mangel']",E51.8
"['Thiamin', 'Mangel', 'nähern', 'bezeichnen']",E51.9
"['Niazin', 'Mangel', '[']",E52
"['Mangel', 'sonstig', 'Vitamin', 'Vitamin', '-']",E53
"['Riboflavin', 'Mangel']",E53.0
"['Pyrido', 'Xin', 'Mangel', 'Pyridoxin', 'Xinmangel']",E53.1
"['Mangel', 'sonstig', 'nähern', 'bezeichnen', 'Vitamin', 'Vitamin', '-']",E53.8
"['Vitamin', '-', 'nähern', 'bezeichnen']",E53.9
"['Ascorb', 'In', 'Säure', 'Mangel', 'Ascorbin', 'Insäure', 'Säuremangel']",E54
"['Vitamin', '-']",E55
"['Floride', 'Rachitis']",E55.0
"['Vitamin', '-', 'nähern', 'bezeichnen']",E55.9
"['Sonstige', 'Vitamin', 'Mangel', 'Zustand', 'Vitaminmangel', 'Mangelzustände']",E56
"['Vitamin', '-']",E56.0
"['Vitamin', '-']",E56.1
"['Mangel', 'sonstig', 'Vitamin']",E56.8
"['Vitamin', 'Mangel', 'nähern', 'bezeichnen']",E56.9
"['Alimentärer', 'Kalzium', 'Mangel']",E58
"['Alimentärer', 'Selen', 'Mangel']",E59
"['Alimentärer', 'Zink', 'Mangel']",E60
"['Mangel', 'sonstig', 'Spur', 'Element']",E61
"['Kupfer', 'Mangel']",E61.0
"['Eisen', 'Mangel']",E61.1
"['Magnesium', 'Mangel']",E61.2
"['Mangan', 'Mangel']",E61.3
"['Chrom', 'Mangel']",E61.4
"['Molybdän', 'Mangel']",E61.5
"['Vanadiumm', 'Angel']",E61.6
"['Mangel', 'mehrer', 'Spur', 'Element']",E61.7
"['Mangel', 'sonstig', 'nähern', 'bezeichnen', 'Spur', 'Element']",E61.8
"['Spur', 'Element', 'Mangel', 'Spurenelement', 'Elementmangel', 'nähern', 'bezeichnen']",E61.9
"['Sonstige', 'alimentäre', 'Mangel', 'Zustand']",E63
"['Mangel', 'essen', 'tiellen', 'Fett', 'Säure', '[']",E63.0
"['Alimentärer', 'Mangel', 'Zustand', 'infolge', 'unaus', 'ge', 'wogener', 'unausge', 'gewogen', 'Zusammen', 'Setzung', 'Nahrung']",E63.1
"['Sonstige', 'nähern', 'bezeichnen', 'alimentäre', 'Mangel', 'Zustand']",E63.8
"['Alimentärer', 'Mangel', 'Zustand', 'nähern', 'bezeichnen']",E63.9
"['Folge', 'Mangel', 'ich', 'Nährung', 'Mangeler', 'Ernährung', 'sonstig', 'alimentären', 'Mangel', 'Zustand']",E64
"['Folge', 'Energie', '-', 'Eiweiß', 'Mangel', 'Ernährung', 'Eiweißmangel', 'Mangelernährung']",E64.0
"['Folge', 'Vitamin', '-']",E64.1
"['Folge', 'Vitamin', '-']",E64.2
"['Folge', 'Rachitis']",E64.3
"['Folge', 'sonstig', 'alimentärer', 'Mangel', 'Zustand']",E64.8
"['Folge', 'nähern', 'bezeichnen', 'alimentären', 'Mangel', 'Zustand']",E64.9
"['Störung', 'Herz', 'Schlag']",R00
"['Tachykardie', 'nähern', 'bezeichnen']",R00.0
"['Brady', 'Kardie', 'nähern', 'bezeichnen']",R00.1
['Palpitationen'],R00.2
"['Pulslose', 'elektrische', 'Aktivität', 'ander', 'orts', 'klassifizieren']",R00.3
"['Sonstige', 'nähern', 'bezeichnen', 'Störung', 'Herz', 'Schlag']",R00.8
"['Herz', 'Geräusch', 'Herz-', 'Schall', 'Phänomen', 'Herz-schall', 'Schallphänomene']",R01
"['Benigne', 'akzidentelle', 'Herz', 'Geräusch']",R01.0
