description,code
"Galaktorrhoe, nicht im Zusammenhang mit der Geburt",N64.3
Mastodynie,N64.4
Sonstige Symptome der Mamma,N64.5
Sonstige näher bezeichnete Krankheiten der Mamma,N64.8
"Krankheit der Mamma, nicht näher bezeichnet",N64.9
"Vorher bestehende Hypertonie, die Schwangerschaft, Geburt und Wochenbett kompliziert",O10
"Vorher bestehende essentielle Hypertonie, die Schwangerschaft, Geburt und Wochenbett kompliziert",O10.0
"Vorher bestehende hypertensive Herzkrankheit, die Schwangerschaft, Geburt und Wochenbett kompliziert",O10.1
"Vorher bestehende hypertensive Nierenkrankheit, die Schwangerschaft, Geburt und Wochenbett kompliziert",O10.2
"Vorher bestehende hypertensive Herz- und Nierenkrankheit, die Schwangerschaft, Geburt und Wochenbett kompliziert",O10.3
"Vorher bestehende sekundäre Hypertonie, die Schwangerschaft, Geburt und Wochenbett kompliziert",O10.4
"Nicht näher bezeichnete, vorher bestehende Hypertonie, die Schwangerschaft, Geburt und Wochenbett kompliziert",O10.9
Chronische Hypertonie mit aufgepfropfter Präeklampsie,O11
Gestationsödeme und Gestationsproteinurie [schwangerschaftsinduziert] ohne Hypertonie,O12
Schwangerschaftsödeme,O12.0
Schwangerschaftsproteinurie,O12.1
Schwangerschaftsödeme mit Proteinurie,O12.2
Gestationshypertonie [schwangerschaftsinduzierte Hypertonie],O13
Präeklampsie,O14
Leichte bis mäßige Präeklampsie,O14.0
Schwere Präeklampsie,O14.1
HELLP-Syndrom,O14.2
"Präeklampsie, nicht näher bezeichnet",O14.9
Eklampsie,O15
Eklampsie während der Schwangerschaft,O15.0
Eklampsie unter der Geburt,O15.1
Eklampsie im Wochenbett,O15.2
"Eklampsie, bei der der zeitliche Bezug nicht angegeben ist",O15.9
Nicht näher bezeichnete Hypertonie der Mutter,O16
Oberflächliche Verletzung der Knöchelregion und des Fußes,S90
Prellung der Knöchelregion,S90.0
Prellung einer oder mehrerer Zehen ohne Schädigung des Nagels,S90.1
Prellung einer oder mehrerer Zehen mit Schädigung des Nagels,S90.2
Prellung sonstiger und nicht näher bezeichneter Teile des Fußes,S90.3
Multiple oberflächliche Verletzungen der Knöchelregion und des Fußes,S90.7
Sonstige oberflächliche Verletzungen der Knöchelregion und des Fußes,S90.8
Schürfwunde,S90.81
Blasenbildung (nichtthermisch),S90.82
Insektenbiss oder -stich (ungiftig),S90.83
Oberflächlicher Fremdkörper (Splitter),S90.84
Subkutanes (geschlossenes) Décollement,S90.86
Sonstige,S90.88
"Oberflächliche Verletzung der Knöchelregion und des Fußes, nicht näher bezeichnet",S90.9
Offene Wunde der Knöchelregion und des Fußes,S91
Offene Wunde der Knöchelregion,S91.0
Offene Wunde einer oder mehrerer Zehen ohne Schädigung des Nagels,S91.1
Offene Wunde einer oder mehrerer Zehen mit Schädigung des Nagels,S91.2
Offene Wunde sonstiger Teile des Fußes,S91.3
Multiple offene Wunden der Knöchelregion und des Fußes,S91.7
Offene Wunde sonstiger Teile der Knöchelregion und des Fußes,S91.8
Offene Wunde sonstiger Teile der Knöchelregion und des Fußes,S91.80
Weichteilschaden I. Grades bei geschlossener Fraktur oder Luxation des Fußes,S91.84
Weichteilschaden II. Grades bei geschlossener Fraktur oder Luxation des Fußes,S91.85
Weichteilschaden III. Grades bei geschlossener Fraktur oder Luxation des Fußes,S91.86
Weichteilschaden I. Grades bei offener Fraktur oder Luxation des Fußes,S91.87
Weichteilschaden II. Grades bei offener Fraktur oder Luxation des Fußes,S91.88
Weichteilschaden III. Grades bei offener Fraktur oder Luxation des Fußes,S91.89
Fraktur des Fußes [ausgenommen oberes Sprunggelenk],S92
Fraktur des Kalkaneus,S92.0
Fraktur des Talus,S92.1
Fraktur eines oder mehrerer sonstiger Fußwurzelknochen,S92.2
"Ein oder mehrere sonstige Fußwurzelknochen, nicht näher bezeichnet",S92.20
Os naviculare pedis,S92.21
Os cuboideum,S92.22
Os cuneiforme (intermedium) (laterale) (mediale),S92.23
Sonstige Fußwurzelknochen,S92.28
Fraktur der Mittelfußknochen,S92.3
Fraktur der Großzehe,S92.4
Fraktur einer sonstigen Zehe,S92.5
Multiple Frakturen des Fußes,S92.7
"Fraktur des Fußes, nicht näher bezeichnet",S92.9
"Luxation, Verstauchung und Zerrung der Gelenke und Bänder in Höhe des oberen Sprunggelenkes und des Fußes",S93
Luxation des oberen Sprunggelenkes,S93.0
Luxation einer oder mehrerer Zehen,S93.1
Nicht näher bezeichnet,S93.10
Metatarsophalangeal (-Gelenk),S93.11
Interphalangeal (-Gelenk),S93.12
Traumatische Ruptur von Bändern in Höhe des oberen Sprunggelenkes und des Fußes,S93.2
Luxation sonstiger und nicht näher bezeichneter Teile des Fußes,S93.3
Teil nicht näher bezeichnet,S93.30
"Fußwurzel (-Knochen), Gelenk nicht näher bezeichnet",S93.31
Mediotarsal (-Gelenk),S93.32
Tarsometatarsal (-Gelenk),S93.33
"Metatarsal (-Knochen), Gelenk nicht näher bezeichnet",S93.34
Sonstige,S93.38
Verstauchung und Zerrung des oberen Sprunggelenkes,S93.4
Teil nicht näher bezeichnet,S93.40
Lig. deltoideum,S93.41
Lig. calcaneofibulare,S93.42
"Lig. tibiofibulare (anterius) (posterius), distal",S93.43
Sonstige Teile,S93.48
Verstauchung und Zerrung einer oder mehrerer Zehen,S93.5
Verstauchung und Zerrung sonstiger und nicht näher bezeichneter Teile des Fußes,S93.6
Verletzung von Nerven in Höhe des Knöchels und des Fußes,S94
Verletzung des N. plantaris lateralis,S94.0
Verletzung des N. plantaris medialis,S94.1
Verletzung des N. peronaeus profundus in Höhe des Knöchels und des Fußes,S94.2
Verletzung sensibler Hautnerven in Höhe des Knöchels und des Fußes,S94.3
Verletzung mehrerer Nerven in Höhe des Knöchels und des Fußes,S94.7
Verletzung sonstiger Nerven in Höhe des Knöchels und des Fußes,S94.8
Verletzung eines nicht näher bezeichneten Nervs in Höhe des Knöchels und des Fußes,S94.9
Verletzung von Blutgefäßen in Höhe des Knöchels und des Fußes,S95
Verletzung der A. dorsalis pedis,S95.0
Verletzung der A. plantaris pedis,S95.1
Verletzung von Venen des Fußrückens,S95.2
Verletzung mehrerer Blutgefäße in Höhe des Knöchels und des Fußes,S95.7
Verletzung sonstiger Blutgefäße in Höhe des Knöchels und des Fußes,S95.8
Verletzung eines nicht näher bezeichneten Blutgefäßes in Höhe des Knöchels und des Fußes,S95.9
Verletzung von Muskeln und Sehnen in Höhe des Knöchels und des Fußes,S96
Verletzung von Muskeln und Sehnen der langen Beugemuskeln der Zehen in Höhe des Knöchels und des Fußes,S96.0
Verletzung von Muskeln und Sehnen der langen Streckmuskeln der Zehen in Höhe des Knöchels und des Fußes,S96.1
Verletzung von kurzen Muskeln und Sehnen in Höhe des Knöchels und des Fußes,S96.2
Verletzung mehrerer Muskeln und Sehnen in Höhe des Knöchels und des Fußes,S96.7
Verletzung sonstiger Muskeln und Sehnen in Höhe des Knöchels und des Fußes,S96.8
Verletzung eines nicht näher bezeichneten Muskels oder einer nicht näher bezeichneten Sehne in Höhe des Knöchels und des Fußes,S96.9
Zerquetschung des oberen Sprunggelenkes und des Fußes,S97
Zerquetschung des oberen Sprunggelenkes,S97.0
Zerquetschung einer oder mehrerer Zehen,S97.1
Zerquetschung sonstiger Teile des oberen Sprunggelenkes und des Fußes,S97.8
Traumatische Amputation am oberen Sprunggelenk und Fuß,S98
Traumatische Amputation des Fußes in Höhe des oberen Sprunggelenkes,S98.0
Traumatische Amputation einer einzelnen Zehe,S98.1
Traumatische Amputation von zwei oder mehr Zehen,S98.2
Traumatische Amputation sonstiger Teile des Fußes,S98.3
"Traumatische Amputation am Fuß, Höhe nicht näher bezeichnet",S98.4
Sonstige und nicht näher bezeichnete Verletzungen der Knöchelregion und des Fußes,S99
Multiple Verletzungen der Knöchelregion und des Fußes,S99.7
Sonstige näher bezeichnete Verletzungen der Knöchelregion und des Fußes,S99.8
Nicht näher bezeichnete Verletzung der Knöchelregion und des Fußes,S99.9
"Folgen von Komplikationen während Schwangerschaft, Geburt und Wochenbett",O94
Sterbefall während der Gestationsperiode nicht näher bezeichneter Ursache,O95
Tod infolge jeder gestationsbedingten Ursache nach mehr als 42 Tagen bis unter einem Jahr nach der Entbindung,O96
Tod infolge direkt gestationsbedingter Ursachen nach mehr als 42 Tagen bis unter einem Jahr nach der Entbindung,O96.0
Tod infolge indirekt gestationsbedingter Ursachen nach mehr als 42 Tagen bis unter einem Jahr nach der Entbindung,O96.1
Tod infolge nicht näher bezeichneter gestationsbedingter Ursachen nach mehr als 42 Tagen bis unter einem Jahr nach der Entbindung,O96.9
Tod an den Folgen gestationsbedingter Ursachen,O97
Tod an den Folgen direkt gestationsbedingter Ursachen,O97.0
Tod an den Folgen indirekt gestationsbedingter Ursachen,O97.1
Tod an den Folgen nicht näher bezeichneter gestationsbedingter Ursachen,O97.9
"Infektiöse und parasitäre Krankheiten der Mutter, die anderenorts klassifizierbar sind, die jedoch Schwangerschaft, Geburt und Wochenbett komplizieren",O98
"Tuberkulose, die Schwangerschaft, Geburt und Wochenbett kompliziert",O98.0
"Syphilis, die Schwangerschaft, Geburt und Wochenbett kompliziert",O98.1
"Gonorrhoe, die Schwangerschaft, Geburt und Wochenbett kompliziert",O98.2
"Sonstige Infektionen, hauptsächlich durch Geschlechtsverkehr übertragen, die Schwangerschaft, Geburt und Wochenbett komplizieren",O98.3
"Virushepatitis, die Schwangerschaft, Geburt und Wochenbett kompliziert",O98.4
"Sonstige Viruskrankheiten, die Schwangerschaft, Geburt und Wochenbett komplizieren",O98.5
"Protozoenkrankheiten, die Schwangerschaft, Geburt oder Wochenbett komplizieren",O98.6
"HIV-Krankheit [Humane Immundefizienz-Viruskrankheit], die Schwangerschaft, Geburt und Wochenbett kompliziert",O98.7
"Sonstige infektiöse und parasitäre Krankheiten der Mutter, die Schwangerschaft, Geburt und Wochenbett komplizieren",O98.8
"Nicht näher bezeichnete infektiöse oder parasitäre Krankheit der Mutter, die Schwangerschaft, Geburt und Wochenbett kompliziert",O98.9
"Sonstige Krankheiten der Mutter, die anderenorts klassifizierbar sind, die jedoch Schwangerschaft, Geburt und Wochenbett komplizieren",O99
"Anämie, die Schwangerschaft, Geburt und Wochenbett kompliziert",O99.0
"Sonstige Krankheiten des Blutes und der blutbildenden Organe sowie bestimmte Störungen mit Beteiligung des Immunsystems, die Schwangerschaft, Geburt und Wochenbett komplizieren",O99.1
"Endokrine, Ernährungs- und Stoffwechselkrankheiten, die Schwangerschaft, Geburt und Wochenbett komplizieren",O99.2
"Psychische Krankheiten sowie Krankheiten des Nervensystems, die Schwangerschaft, Geburt und Wochenbett komplizieren",O99.3
"Krankheiten des Kreislaufsystems, die Schwangerschaft, Geburt und Wochenbett komplizieren",O99.4
"Krankheiten des Atmungssystems, die Schwangerschaft, Geburt und Wochenbett komplizieren",O99.5
"Krankheiten des Verdauungssystems, die Schwangerschaft, Geburt und Wochenbett komplizieren",O99.6
"Krankheiten der Haut und des Unterhautgewebes, die Schwangerschaft, Geburt und Wochenbett komplizieren",O99.7
"Sonstige näher bezeichnete Krankheiten und Zustände, die Schwangerschaft, Geburt und Wochenbett komplizieren",O99.8
Vitamin-A-Mangel,E50
Vitamin-A-Mangel mit Xerosis conjunctivae,E50.0
Vitamin-A-Mangel mit Bitot-Flecken und Xerosis conjunctivae,E50.1
Vitamin-A-Mangel mit Hornhautxerose,E50.2
Vitamin-A-Mangel mit Hornhautulzeration und Hornhautxerose,E50.3
Vitamin-A-Mangel mit Keratomalazie,E50.4
Vitamin-A-Mangel mit Nachtblindheit,E50.5
Vitamin-A-Mangel mit xerophthalmischen Narben der Hornhaut,E50.6
Sonstige Manifestationen des Vitamin-A-Mangels am Auge,E50.7
Sonstige Manifestationen des Vitamin-A-Mangels,E50.8
"Vitamin-A-Mangel, nicht näher bezeichnet",E50.9
Thiaminmangel [Vitamin-B1-Mangel],E51
Beriberi,E51.1
Wernicke-Enzephalopathie,E51.2
Sonstige Manifestationen des Thiaminmangels,E51.8
"Thiaminmangel, nicht näher bezeichnet",E51.9
Niazinmangel [Pellagra],E52
Mangel an sonstigen Vitaminen des Vitamin-B-Komplexes,E53
Riboflavinmangel,E53.0
Pyridoxinmangel,E53.1
Mangel an sonstigen näher bezeichneten Vitaminen des Vitamin-B-Komplexes,E53.8
"Vitamin-B-Mangel, nicht näher bezeichnet",E53.9
Ascorbinsäuremangel,E54
Vitamin-D-Mangel,E55
Floride Rachitis,E55.0
"Vitamin-D-Mangel, nicht näher bezeichnet",E55.9
Sonstige Vitaminmangelzustände,E56
Vitamin-E-Mangel,E56.0
Vitamin-K-Mangel,E56.1
Mangel an sonstigen Vitaminen,E56.8
"Vitaminmangel, nicht näher bezeichnet",E56.9
Alimentärer Kalziummangel,E58
Alimentärer Selenmangel,E59
Alimentärer Zinkmangel,E60
Mangel an sonstigen Spurenelementen,E61
Kupfermangel,E61.0
Eisenmangel,E61.1
Magnesiummangel,E61.2
Manganmangel,E61.3
Chrommangel,E61.4
Molybdänmangel,E61.5
Vanadiummangel,E61.6
Mangel an mehreren Spurenelementen,E61.7
Mangel an sonstigen näher bezeichneten Spurenelementen,E61.8
"Spurenelementmangel, nicht näher bezeichnet",E61.9
Sonstige alimentäre Mangelzustände,E63
Mangel an essentiellen Fettsäuren [EFA],E63.0
Alimentärer Mangelzustand infolge unausgewogener Zusammensetzung der Nahrung,E63.1
Sonstige näher bezeichnete alimentäre Mangelzustände,E63.8
"Alimentärer Mangelzustand, nicht näher bezeichnet",E63.9
Folgen von Mangelernährung oder sonstigen alimentären Mangelzuständen,E64
Folgen der Energie- und Eiweißmangelernährung,E64.0
Folgen des Vitamin-A-Mangels,E64.1
Folgen des Vitamin-C-Mangels,E64.2
Folgen der Rachitis,E64.3
Folgen sonstiger alimentärer Mangelzustände,E64.8
Folgen eines nicht näher bezeichneten alimentären Mangelzustandes,E64.9
Störungen des Herzschlages,R00
"Tachykardie, nicht näher bezeichnet",R00.0
"Bradykardie, nicht näher bezeichnet",R00.1
Palpitationen,R00.2
"Pulslose elektrische Aktivität, anderenorts nicht klassifiziert",R00.3
Sonstige und nicht näher bezeichnete Störungen des Herzschlages,R00.8
Herzgeräusche und andere Herz-Schallphänomene,R01
Benigne und akzidentelle Herzgeräusche,R01.0
"Herzgeräusch, nicht näher bezeichnet",R01.1
Sonstige Herz-Schallphänomene,R01.2
"Gangrän, anderenorts nicht klassifiziert",R02
"Nekrose der Haut und Unterhaut, anderenorts nicht klassifiziert",R02.0
Kopf und Hals,R02.00
"Schulterregion, Oberarm und Ellenbogen",R02.01
Unterarm und Handgelenk,R02.02
Hand und Finger,R02.03
Rumpf,R02.04
Beckenregion und Oberschenkel,R02.05
Unterschenkel und Knie,R02.06
"Knöchelregion, Fuß und Zehen",R02.07
Lokalisation nicht näher bezeichnet,R02.09
"Sonstige und nicht näher bezeichnete Gangrän, anderenorts nicht klassifiziert",R02.8
Abnormer Blutdruckwert ohne Diagnose,R03
Erhöhter Blutdruckwert ohne Diagnose eines Bluthochdrucks,R03.0
Unspezifischer niedriger Blutdruckwert,R03.1
Blutung aus den Atemwegen,R04
Epistaxis,R04.0
Blutung aus dem Rachen,R04.1
Hämoptoe,R04.2
Blutung aus sonstigen Lokalisationen in den Atemwegen,R04.8
"Blutung aus den Atemwegen, nicht näher bezeichnet",R04.9
Husten,R05
Störungen der Atmung,R06
Dyspnoe,R06.0
Stridor,R06.1
Ziehende Atmung,R06.2
Periodische Atmung,R06.3
Hyperventilation,R06.4
Mundatmung,R06.5
Singultus,R06.6
Niesen,R06.7
Sonstige und nicht näher bezeichnete Störungen der Atmung,R06.8
Akutes lebensbedrohliches Ereignis im Säuglingsalter,R06.80
Sonstige und nicht näher bezeichnete Störungen der Atmung,R06.88
Hals- und Brustschmerzen,R07
Halsschmerzen,R07.0
Brustschmerzen bei der Atmung,R07.1
Präkordiale Schmerzen,R07.2
Sonstige Brustschmerzen,R07.3
"Brustschmerzen, nicht näher bezeichnet",R07.4
"Sonstige Symptome, die das Kreislaufsystem und das Atmungssystem betreffen",R09
Asphyxie,R09.0
Pleuritis,R09.1
Atemstillstand,R09.2
Abnormes Sputum,R09.3
"Sonstige näher bezeichnete Symptome, die das Kreislaufsystem und das Atmungssystem betreffen",R09.8
Malaria tropica durch Plasmodium falciparum,B50
Malaria tropica mit zerebralen Komplikationen,B50.0
Sonstige schwere Formen oder Komplikationen der Malaria tropica,B50.8
"Malaria tropica, nicht näher bezeichnet",B50.9
Malaria tertiana durch Plasmodium vivax,B51
Malaria tertiana mit Milzruptur,B51.0
Malaria tertiana mit sonstigen Komplikationen,B51.8
Malaria tertiana ohne Komplikation,B51.9
Malaria quartana durch Plasmodium malariae,B52
Malaria quartana mit Nephropathie,B52.0
Malaria quartana mit sonstigen Komplikationen,B52.8
Malaria quartana ohne Komplikation,B52.9
Sonstige parasitologisch bestätigte Malaria,B53
Malaria durch Plasmodium ovale,B53.0
Malaria durch Affen-Plasmodien,B53.1
"Sonstige parasitologisch bestätigte Malaria, anderenorts nicht klassifiziert",B53.8
"Malaria, nicht näher bezeichnet",B54
Leishmaniose,B55
Viszerale Leishmaniose,B55.0
Kutane Leishmaniose,B55.1
Mukokutane Leishmaniose,B55.2
"Leishmaniose, nicht näher bezeichnet",B55.9
Afrikanische Trypanosomiasis,B56
Trypanosomiasis gambiensis,B56.0
Trypanosomiasis rhodesiensis,B56.1
"Afrikanische Trypanosomiasis, nicht näher bezeichnet",B56.9
Chagas-Krankheit,B57
Akute Chagas-Krankheit mit Herzbeteiligung (I41.2* I98.1*),B57.0
Akute Chagas-Krankheit ohne Herzbeteiligung,B57.1
Chagas-Krankheit (chronisch) mit Herzbeteiligung,B57.2
Chagas-Krankheit (chronisch) mit Beteiligung des Verdauungssystems,B57.3
Chagas-Krankheit (chronisch) mit Beteiligung des Nervensystems,B57.4
Chagas-Krankheit (chronisch) mit Beteiligung sonstiger Organe,B57.5
Toxoplasmose,B58
Augenerkrankung durch Toxoplasmen,B58.0
Hepatitis durch Toxoplasmen (K77.0*),B58.1
Meningoenzephalitis durch Toxoplasmen (G05.2*),B58.2
Toxoplasmose der Lunge (J17.3*),B58.3
Toxoplasmosen mit Beteiligung sonstiger Organe,B58.8
"Toxoplasmose, nicht näher bezeichnet",B58.9
"Sonstige Protozoenkrankheiten, anderenorts nicht klassifiziert",B60
Babesiose,B60.0
Akanthamöbiasis,B60.1
Naegleriainfektion,B60.2
Sonstige näher bezeichnete Protozoenkrankheiten,B60.8
Nicht näher bezeichnete Protozoenkrankheit,B64
Oberflächliche Verletzung der Hüfte und des Oberschenkels,S70
Prellung der Hüfte,S70.0
Prellung des Oberschenkels,S70.1
Multiple oberflächliche Verletzungen der Hüfte und des Oberschenkels,S70.7
Sonstige oberflächliche Verletzungen der Hüfte und des Oberschenkels,S70.8
Schürfwunde,S70.81
Blasenbildung (nichtthermisch),S70.82
Insektenbiss oder -stich (ungiftig),S70.83
Oberflächlicher Fremdkörper (Splitter),S70.84
Subkutanes (geschlossenes) Décollement,S70.86
Sonstige,S70.88
"Oberflächliche Verletzung der Hüfte und des Oberschenkels, nicht näher bezeichnet",S70.9
Offene Wunde der Hüfte und des Oberschenkels,S71
Offene Wunde der Hüfte,S71.0
Offene Wunde des Oberschenkels,S71.1
Multiple offene Wunden der Hüfte und des Oberschenkels,S71.7
Offene Wunde sonstiger und nicht näher bezeichneter Teile des Beckengürtels,S71.8
Offene Wunde sonstiger und nicht näher bezeichneter Teile des Beckengürtels,S71.80
Weichteilschaden I. Grades bei geschlossener Fraktur oder Luxation der Hüfte und des Oberschenkels,S71.84
Weichteilschaden II. Grades bei geschlossener Fraktur oder Luxation der Hüfte und des Oberschenkels,S71.85
Weichteilschaden III. Grades bei geschlossener Fraktur oder Luxation der Hüfte und des Oberschenkels,S71.86
Weichteilschaden I. Grades bei offener Fraktur oder Luxation der Hüfte und des Oberschenkels,S71.87
Weichteilschaden II. Grades bei offener Fraktur oder Luxation der Hüfte und des Oberschenkels,S71.88
Weichteilschaden III. Grades bei offener Fraktur oder Luxation der Hüfte und des Oberschenkels,S71.89
Fraktur des Femurs,S72
Schenkelhalsfraktur,S72.0
Teil nicht näher bezeichnet,S72.00
Intrakapsulär,S72.01
"(Proximale) Epiphyse, Epiphysenlösung",S72.02
Subkapital,S72.03
Mediozervikal,S72.04
Basis,S72.05
Sonstige Teile,S72.08
Pertrochantäre Fraktur,S72.1
"Trochantär, nicht näher bezeichnet",S72.10
Intertrochantär,S72.11
Subtrochantäre Fraktur,S72.2
Fraktur des Femurschaftes,S72.3
Distale Fraktur des Femurs,S72.4
Teil nicht näher bezeichnet,S72.40
Condylus (lateralis) (medialis),S72.41
"Epiphyse, Epiphysenlösung",S72.42
Suprakondylär,S72.43
Interkondylär,S72.44
Multiple Frakturen des Femurs,S72.7
Frakturen sonstiger Teile des Femurs,S72.8
"Fraktur des Femurs, Teil nicht näher bezeichnet",S72.9
"Luxation, Verstauchung und Zerrung des Hüftgelenkes und von Bändern der Hüfte",S73
Luxation der Hüfte,S73.0
Nicht näher bezeichnet,S73.00
Nach posterior,S73.01
Nach anterior,S73.02
Sonstige,S73.08
Verstauchung und Zerrung des Hüftgelenkes,S73.1
Teil nicht näher bezeichnet,S73.10
Iliofemoral (Band),S73.11
Ischiokapsulär (Band),S73.12
Sonstige Teile,S73.18
Verletzung von Nerven in Höhe der Hüfte und des Oberschenkels,S74
Verletzung des N. ischiadicus in Höhe der Hüfte und des Oberschenkels,S74.0
Verletzung des N. femoralis in Höhe der Hüfte und des Oberschenkels,S74.1
Verletzung sensibler Hautnerven in Höhe der Hüfte und des Oberschenkels,S74.2
Verletzung mehrerer Nerven in Höhe der Hüfte und des Oberschenkels,S74.7
Verletzung sonstiger Nerven in Höhe der Hüfte und des Oberschenkels,S74.8
Verletzung eines nicht näher bezeichneten Nervs in Höhe der Hüfte und des Oberschenkels,S74.9
Verletzung von Blutgefäßen in Höhe der Hüfte und des Oberschenkels,S75
Verletzung der A. femoralis,S75.0
Verletzung der V. femoralis in Höhe der Hüfte und des Oberschenkels,S75.1
Verletzung der V. saphena magna in Höhe der Hüfte und des Oberschenkels,S75.2
Verletzung mehrerer Blutgefäße in Höhe der Hüfte und des Oberschenkels,S75.7
Verletzung sonstiger Blutgefäße in Höhe der Hüfte und des Oberschenkels,S75.8
Verletzung eines nicht näher bezeichneten Blutgefäßes in Höhe der Hüfte und des Oberschenkels,S75.9
Verletzung von Muskeln und Sehnen in Höhe der Hüfte und des Oberschenkels,S76
Verletzung von Muskeln und Sehnen der Hüfte,S76.0
Verletzung des Muskels und der Sehne des M. quadriceps femoris,S76.1
Verletzung von Muskeln und Sehnen der Adduktorengruppe des Oberschenkels,S76.2
Verletzung von Muskeln und Sehnen der posterioren Muskelgruppe in Höhe des Oberschenkels,S76.3
Verletzung sonstiger und nicht näher bezeichneter Muskeln und Sehnen in Höhe des Oberschenkels,S76.4
Verletzung mehrerer Muskeln und Sehnen in Höhe der Hüfte und des Oberschenkels,S76.7
Zerquetschung der Hüfte und des Oberschenkels,S77
Zerquetschung der Hüfte,S77.0
Zerquetschung des Oberschenkels,S77.1
Zerquetschung mit Beteiligung der Hüfte und des Oberschenkels,S77.2
Traumatische Amputation an Hüfte und Oberschenkel,S78
